run_id,candidate_hash,overrides_hash,status,fold_index,seed,macro_f1,val_loss,best_val_macro_f1,overfit_gap,generalization_ratio,selection_score_proxy,best_epoch,stop_epoch,early_stopped,elapsed_sec,optimizer.lr,optimizer.weight_decay,augmentation.mix,train.label_smoothing,train.class_weight_mode,scheduler.name,preprocess.target_size,model.backbone,train.batch_size,train.grad_accum_steps,trial_dir
run_id=0,fa120dfd53,d8fc86d871,completed,0,42,0.938928051566361,0.183811078114169,0.9457927896957234,0.006864738129362391,0.9927418159620662,,3.0,5.0,True,118.78788215102395,0.0001,0.005,none,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=0
run_id=1,fa120dfd53,3ab48e8be3,completed,1,42,0.9540171799218217,0.16451330549482787,0.9670622835615662,0.013045103639744537,0.986510585862473,,7.0,9.0,True,205.77333662903402,0.0001,0.005,none,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=1
run_id=10,a87fbad399,d53755d936,completed,0,42,0.9043621728212172,0.41640158955539974,0.9256218495247833,0.0212596767035661,0.9770320064133308,,5.0,7.0,True,161.5156904500327,0.0001,0.005,mixup,0.0,none,cosine,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=10
run_id=11,a87fbad399,63050269e0,completed,1,42,0.9014365875772281,0.3956394749028342,0.956290580575726,0.054853992998497914,0.942638781440811,,7.0,9.0,True,208.4181098039844,0.0001,0.005,mixup,0.0,none,cosine,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=11
run_id=12,00bce7c231,82dca9fbd7,completed,0,42,0.8692650519408051,0.5157500824757985,0.9047615132045298,0.03549646126372474,0.9607670521505699,,3.0,5.0,True,116.75160705304006,0.0001,0.005,mixup,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=12
run_id=13,00bce7c231,90dbcb96cd,completed,1,42,0.9663421031154605,0.22784646919795445,0.9717523050850531,0.005410201969592521,0.9944325298316437,,10.0,10.0,False,235.80547251697863,0.0001,0.005,mixup,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=13
run_id=14,9de711d13b,796a3754c3,completed,0,42,0.867084437887212,0.5672006543193545,0.9514354196270132,0.08435098173980116,0.9113434501178558,,6.0,8.0,True,185.9846768300049,0.0001,0.005,mixup,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=14
run_id=15,9de711d13b,63e9b015d7,completed,1,42,0.9365270234971415,0.324256674519607,0.9687994496044031,0.032272426107261665,0.9666882282804354,,9.0,10.0,False,235.00910983601352,0.0001,0.005,mixup,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=15
run_id=16,72f2055d94,82512084d0,completed,0,42,0.9189956878347193,0.2086451825286661,0.9444910568726925,0.025495369037973226,0.9730062356308687,,3.0,5.0,True,115.01231491100043,0.0001,0.01,none,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=16
run_id=17,72f2055d94,6017ad5daf,completed,1,42,0.9415163521559962,0.1766204359009862,0.9606677881163125,0.01915143596031632,0.980064454958078,,6.0,8.0,True,185.75963160698302,0.0001,0.01,none,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=17
