wandb_run_dir,wandb_group,lineage_job_num,runner_run_id,fold_index,optimizer.lr,optimizer.weight_decay,augmentation.mix,train.label_smoothing,train.class_weight_mode,scheduler.name,preprocess.target_size,model.backbone,tune/val_macro_f1,tune/val_loss,tune/overfit_gap,tune/best_val_macro_f1,tune/early_stopped,tune/train_elapsed_sec,selection/score_proxy
run-20260303_091322-4uyndzwv,tune__date=2026-03-03__sweep_id=09-13-17,0,09-13-17,0,0.0001,0.005,none,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,0.938928051566361,0.183811078114169,0.006864738129362391,0.9457927896957234,1.0,118.78788215102395,0.938928051566361
run-20260303_091535-sldgehmo,tune__date=2026-03-03__sweep_id=09-13-17,1,09-13-17,1,0.0001,0.005,none,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,0.9540171799218217,0.16451330549482787,0.013045103639744537,0.9670622835615662,1.0,205.77333662903402,0.9540171799218217
run-20260303_091914-9snkmq9c,tune__date=2026-03-03__sweep_id=09-13-17,2,09-13-17,0,0.0001,0.005,none,0.0,none,cosine,384,convnext_small.fb_in22k_ft_in1k,0.9343146059493047,0.20496259203978948,0.006244275298736945,0.9405588812480417,1.0,208.65335558797233,0.9343146059493047
run-20260303_092256-r8o07x65,tune__date=2026-03-03__sweep_id=09-13-17,3,09-13-17,1,0.0001,0.005,none,0.0,none,cosine,384,convnext_small.fb_in22k_ft_in1k,0.9489126911083077,0.16755439953080245,-0.006116413943980437,0.9427962771643272,1.0,139.28461206698557,0.9489126911083077
run-20260303_092530-fs2uxq1p,tune__date=2026-03-03__sweep_id=09-13-17,4,09-13-17,0,0.0001,0.005,none,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,0.9336921273728905,0.2144863855625902,0.013500494257686513,0.947192621630577,1.0,160.43581830197945,0.9336921273728905
run-20260303_092825-xqxksdr8,tune__date=2026-03-03__sweep_id=09-13-17,5,09-13-17,1,0.0001,0.005,none,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,0.9618726142366879,0.10352833662182093,-0.0007926191087767043,0.9610799951279112,1.0,182.95310902397614,0.9618726142366879
run-20260303_093142-80lbooog,tune__date=2026-03-03__sweep_id=09-13-17,6,09-13-17,0,0.0001,0.005,none,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,0.8993595391961716,0.2716226540505886,0.029804295785831436,0.9291638349820031,1.0,115.01552812202135,0.8866139546745908
run-20260303_093351-p9ryf3c0,tune__date=2026-03-03__sweep_id=09-13-17,7,09-13-17,1,0.0001,0.005,none,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,0.9208446940037021,0.19351674948952027,0.04016632390569608,0.9610110179093981,1.0,209.40314902202226,0.8946284729262972
run-20260303_093735-clk12a1j,tune__date=2026-03-03__sweep_id=09-13-17,8,09-13-17,0,0.0001,0.005,mixup,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,0.9216866098577191,0.4334485424416406,0.037189807857070045,0.9588764177147892,0.0,233.0072617760161,0.899339859643528
run-20260303_094141-snow4rc9,tune__date=2026-03-03__sweep_id=09-13-17,9,09-13-17,1,0.0001,0.005,mixup,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,0.9413914815569749,0.3234451562166214,0.0346673345305355,0.9760588160875104,0.0,235.28936012502527,0.9223239466672788
run-20260303_094550-91zpq6fq,tune__date=2026-03-03__sweep_id=09-13-17,10,09-13-17,0,0.0001,0.005,mixup,0.0,none,cosine,384,convnext_small.fb_in22k_ft_in1k,0.9043621728212172,0.41640158955539974,0.0212596767035661,0.9256218495247833,1.0,161.5156904500327,0.9027245931065813
run-20260303_094845-wcqrxlbh,tune__date=2026-03-03__sweep_id=09-13-17,11,09-13-17,1,0.0001,0.005,mixup,0.0,none,cosine,384,convnext_small.fb_in22k_ft_in1k,0.9014365875772281,0.3956394749028342,0.054853992998497914,0.956290580575726,1.0,208.4181098039844,0.8561263966791808
run-20260303_095228-5fnlaui9,tune__date=2026-03-03__sweep_id=09-13-17,12,09-13-17,0,0.0001,0.005,mixup,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,0.8692650519408051,0.5157500824757985,0.03549646126372474,0.9047615132045298,1.0,116.75160705304006,0.8491196522979629
run-20260303_095438-13x7h53y,tune__date=2026-03-03__sweep_id=09-13-17,13,09-13-17,1,0.0001,0.005,mixup,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,0.9663421031154605,0.22784646919795445,0.005410201969592521,0.9717523050850531,0.0,235.80547251697863,0.9663421031154605
run-20260303_095848-lu31tr1o,tune__date=2026-03-03__sweep_id=09-13-17,14,09-13-17,0,0.0001,0.005,mixup,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,0.867084437887212,0.5672006543193545,0.08435098173980116,0.9514354196270132,1.0,185.9846768300049,0.7834281616254705
run-20260303_100208-efselzcd,tune__date=2026-03-03__sweep_id=09-13-17,15,09-13-17,1,0.0001,0.005,mixup,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,0.9365270234971415,0.324256674519607,0.032272426107261665,0.9687994496044031,0.0,235.00910983601352,0.9205728695577013
run-20260303_100617-nc5t375t,tune__date=2026-03-03__sweep_id=09-13-17,16,09-13-17,0,0.0001,0.01,none,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,0.9189956878347193,0.2086451825286661,0.025495369037973226,0.9444910568726925,1.0,115.01231491100043,0.9118517080853541
run-20260303_100826-0ms4536z,tune__date=2026-03-03__sweep_id=09-13-17,17,09-13-17,1,0.0001,0.01,none,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,0.9415163521559962,0.1766204359009862,0.01915143596031632,0.9606677881163125,1.0,185.75963160698302,0.9415163521559962
run-20260303_101146-llguzjyj,tune__date=2026-03-03__sweep_id=09-13-17,18,09-13-17,0,0.0001,0.01,none,0.0,none,cosine,384,convnext_small.fb_in22k_ft_in1k,0.9248651077179799,0.20963682593511684,0.016191633712283604,0.9410567414302635,1.0,231.58453031501267,0.9248651077179799
run-20260303_101552-idbb1ga0,tune__date=2026-03-03__sweep_id=09-13-17,19,09-13-17,1,0.0001,0.01,none,0.0,none,cosine,384,convnext_small.fb_in22k_ft_in1k,0.9529632974943705,0.11863905909870352,0.006701185790138453,0.9596644832845089,1.0,235.03274606901687,0.9529632974943705
run-20260303_102002-1o9d1nwg,tune__date=2026-03-03__sweep_id=09-13-17,20,09-13-17,0,0.0001,0.01,none,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,0.9445919603691635,0.20118641653763397,0.01135485528089153,0.955946815650055,0.0,234.01526265201392,0.9445919603691635
run-20260303_102410-0dkwnehk,tune__date=2026-03-03__sweep_id=09-13-17,21,09-13-17,1,0.0001,0.01,none,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,0.9317700620728635,0.18828590773046017,0.0313207946303693,0.9630908567032328,1.0,228.79589660000056,0.9170530290533834
run-20260303_102813-sybyki25,tune__date=2026-03-03__sweep_id=09-13-17,22,09-13-17,0,0.0001,0.01,none,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,0.9447967888764197,0.1652429419170533,0.011955783031155853,0.9567525719075756,0.0,232.78466507495614,0.9447967888764197
run-20260303_103220-c5yi72ql,tune__date=2026-03-03__sweep_id=09-13-17,23,09-13-17,1,0.0001,0.01,none,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,0.9527015191741124,0.13429749650614603,0.014083688955889961,0.9667852081300023,1.0,234.14636031800183,0.9527015191741124
run-20260303_103628-5tfncc1o,tune__date=2026-03-03__sweep_id=09-13-17,24,09-13-17,0,0.0001,0.01,mixup,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,0.9184816058814462,0.3184355358992304,0.035412885754882995,0.9538944916363292,1.0,210.5293833509786,0.8984448544000984
run-20260303_104012-z8lo9jvw,tune__date=2026-03-03__sweep_id=09-13-17,25,09-13-17,1,0.0001,0.01,mixup,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,0.9519519497332027,0.28825190344027113,0.02702142823587106,0.9789733779690738,0.0,236.04380530299386,0.9428240930265703
run-20260303_104423-kyylzj68,tune__date=2026-03-03__sweep_id=09-13-17,26,09-13-17,0,0.0001,0.01,mixup,0.0,none,cosine,384,convnext_small.fb_in22k_ft_in1k,0.9444827272091905,0.3766319698521069,-0.004949484047098385,0.9395332431620921,1.0,162.23885785002494,0.9444827272091905
run-20260303_104720-16a74x1r,tune__date=2026-03-03__sweep_id=09-13-17,27,09-13-17,1,0.0001,0.01,mixup,0.0,none,cosine,384,convnext_small.fb_in22k_ft_in1k,0.9023536352080238,0.33753265014716555,0.0491305726688579,0.9514842078768817,1.0,209.83216396096395,0.8644838907385085
run-20260303_105105-07qwo3uz,tune__date=2026-03-03__sweep_id=09-13-17,28,09-13-17,0,0.0001,0.01,mixup,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,0.9438823809698988,0.27857963527951923,-0.0010778689064159241,0.9428045120634829,1.0,235.013553872006,0.9438823809698988
run-20260303_105514-b1mtj3e1,tune__date=2026-03-03__sweep_id=09-13-17,29,09-13-17,1,0.0001,0.01,mixup,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,0.8696474116601344,0.49147604405879974,0.0993581869614315,0.9690055986215659,1.0,186.63737515098182,0.7664817686102734
run-20260303_105835-bu2t13lr,tune__date=2026-03-03__sweep_id=09-13-17,30,09-13-17,0,0.0001,0.01,mixup,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,0.8454576821489469,0.602545114500182,0.10602207719631895,0.9514797593452659,1.0,186.8839031989919,0.7336289817937323
run-20260303_110155-ircblvvq,tune__date=2026-03-03__sweep_id=09-13-17,31,09-13-17,1,0.0001,0.01,mixup,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,0.9307166723234325,0.44709521319184986,0.0316979960610837,0.9624146683845162,1.0,209.70079883397557,0.9155092774440237
run-20260303_110539-g230acd6,tune__date=2026-03-03__sweep_id=09-13-17,32,09-13-17,0,0.00013,0.005,none,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,0.9341148065396947,0.19433585820453508,0.009618016673414442,0.9437328232131091,1.0,115.89005834399723,0.9341148065396947
run-20260303_110749-2mvrc3bq,tune__date=2026-03-03__sweep_id=09-13-17,33,09-13-17,1,0.00013,0.005,none,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,0.9399338369659711,0.1995366814413241,0.009609559719663041,0.9495433966856341,1.0,113.71232048101956,0.9399338369659711
run-20260303_110956-ghxeumfv,tune__date=2026-03-03__sweep_id=09-13-17,34,09-13-17,0,0.00013,0.005,none,0.0,none,cosine,384,convnext_small.fb_in22k_ft_in1k,0.9411678486151648,0.18243861304862158,0.014760049629989447,0.9559278982451542,1.0,207.25553307897644,0.9411678486151648
run-20260303_111337-4uway1i3,tune__date=2026-03-03__sweep_id=09-13-17,35,09-13-17,1,0.00013,0.005,none,0.0,none,cosine,384,convnext_small.fb_in22k_ft_in1k,0.9446709870328914,0.15652992576360703,0.01332765854843343,0.9579986455813249,1.0,139.39035498094745,0.9446709870328914
run-20260303_111610-ix0cqx0c,tune__date=2026-03-03__sweep_id=09-13-17,36,09-13-17,0,0.00013,0.005,none,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,0.9183687109966698,0.22715283451335772,0.02377045435338776,0.9421391653500576,1.0,115.77564556105062,0.9134671203372657
run-20260303_111819-8y574aju,tune__date=2026-03-03__sweep_id=09-13-17,37,09-13-17,1,0.00013,0.005,none,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,0.947117391880663,0.12156281134645854,0.015499437208759237,0.9626168290894223,1.0,187.3211920519825,0.947117391880663
run-20260303_112141-25us96ks,tune__date=2026-03-03__sweep_id=09-13-17,38,09-13-17,0,0.00013,0.005,none,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,0.9404647526302979,0.1681096125394106,0.016526674509293016,0.956991427139591,1.0,233.54185603995575,0.9404647526302979
run-20260303_112548-6oz2ltrg,tune__date=2026-03-03__sweep_id=09-13-17,39,09-13-17,1,0.00013,0.005,none,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,0.9476258352829106,0.13170410439904248,0.016799468738561862,0.9644253040214724,1.0,161.46123104303842,0.9476258352829106
run-20260303_112842-wylmb5cf,tune__date=2026-03-03__sweep_id=09-13-17,40,09-13-17,0,0.00013,0.005,mixup,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,0.865768284794495,0.5264420104878289,0.09051164306777504,0.95627992786227,0.0,235.33943608001573,0.7741031488063874
run-20260303_113252-ramp5epx,tune__date=2026-03-03__sweep_id=09-13-17,41,09-13-17,1,0.00013,0.005,mixup,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,0.8665908313946152,0.4001246318221092,0.08603252153160479,0.95262335292622,1.0,186.794905251998,0.780748553403529
run-20260303_113613-yhgugp9q,tune__date=2026-03-03__sweep_id=09-13-17,42,09-13-17,0,0.00013,0.005,mixup,0.0,none,cosine,384,convnext_small.fb_in22k_ft_in1k,0.9337647621676542,0.3799916218434061,0.01902691452695615,0.9527916766946104,0.0,234.152036976011,0.9337647621676542
run-20260303_114021-fuwqo827,tune__date=2026-03-03__sweep_id=09-13-17,43,09-13-17,1,0.00013,0.005,mixup,0.0,none,cosine,384,convnext_small.fb_in22k_ft_in1k,0.9393415358033305,0.2802339036549841,0.024120408114021497,0.963461943917352,0.0,237.4996242329944,0.9339850052551025
run-20260303_114432-j6af5ne2,tune__date=2026-03-03__sweep_id=09-13-17,44,09-13-17,0,0.00013,0.005,mixup,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,0.9456803360925886,0.3026882080095155,0.017665699557683268,0.9633460356502719,0.0,233.06130241800565,0.9456803360925886
run-20260303_114839-93mjtumv,tune__date=2026-03-03__sweep_id=09-13-17,45,09-13-17,1,0.00013,0.005,mixup,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,0.8676543690298836,0.5068672278097698,0.10393058604261818,0.9715849550725018,1.0,186.28560591704445,0.7585446071744799
run-20260303_115159-r6o6sjq7,tune__date=2026-03-03__sweep_id=09-13-17,46,09-13-17,0,0.00013,0.005,mixup,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,0.9162927081148028,0.3603439810020583,0.04773475405739669,0.9640274621721995,1.0,187.06649394298438,0.880237527840187
run-20260303_115519-dw6ekoqr,tune__date=2026-03-03__sweep_id=09-13-17,47,09-13-17,1,0.00013,0.005,mixup,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,0.9372864950190767,0.319193925176348,0.024391305457723722,0.9616778004768004,0.0,233.28278160799528,0.9315777979240358
run-20260303_115926-kn3gbobx,tune__date=2026-03-03__sweep_id=09-13-17,48,09-13-17,0,0.00013,0.01,none,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,0.9189868790561594,0.22847489374024527,0.026878452615483495,0.9458653316716429,1.0,116.17539382795803,0.9100448906560309
run-20260303_120136-lyq4kbmr,tune__date=2026-03-03__sweep_id=09-13-17,49,09-13-17,1,0.00013,0.01,none,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,0.901882466272683,0.32293661311268806,0.06453631664538273,0.9664187829180657,0.0,228.75220409303438,0.8439852546336855
run-20260303_120538-s9j6bzg5,tune__date=2026-03-03__sweep_id=09-13-17,50,09-13-17,0,0.00013,0.01,none,0.0,none,cosine,384,convnext_small.fb_in22k_ft_in1k,0.9229123161183104,0.22360610030591488,0.028153309688195294,0.9510656258065057,1.0,161.5272337620263,0.9123130135236565
run-20260303_120833-9rj427hg,tune__date=2026-03-03__sweep_id=09-13-17,51,09-13-17,1,0.00013,0.01,none,0.0,none,cosine,384,convnext_small.fb_in22k_ft_in1k,0.9747780083693397,0.09193108310656888,0.0007953164297309634,0.9755733247990707,0.0,233.41417724697385,0.9747780083693397
run-20260303_121241-uv4xhkk8,tune__date=2026-03-03__sweep_id=09-13-17,52,09-13-17,0,0.00013,0.01,none,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,0.9203187688693523,0.20236045414847986,0.017322166005893536,0.9376409348752458,1.0,209.09533731400734,0.9203187688693523
run-20260303_121623-2fx3f0os,tune__date=2026-03-03__sweep_id=09-13-17,53,09-13-17,1,0.00013,0.01,none,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,0.9410375944513847,0.16459370697183268,0.027866230912518164,0.9689038253639028,1.0,162.7524208300165,0.9308114942651111
run-20260303_121919-o1mxgbl8,tune__date=2026-03-03__sweep_id=09-13-17,54,09-13-17,0,0.00013,0.01,none,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,0.9499107520776744,0.16355565522930451,0.01189769444081945,0.9618084465184938,1.0,231.64075202896493,0.9499107520776744
run-20260303_122324-snx6cfv1,tune__date=2026-03-03__sweep_id=09-13-17,55,09-13-17,1,0.00013,0.01,none,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,0.9819127150547523,0.08621288922482304,-0.009085390265703541,0.9728273247890488,0.0,231.76726485503605,0.9819127150547523
run-20260303_122729-d50bwtg4,tune__date=2026-03-03__sweep_id=09-13-17,56,09-13-17,0,0.00013,0.01,mixup,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,0.8757090923942692,0.4780676620347159,0.08277232303611315,0.9584814154303823,0.0,234.9098969810293,0.7941050724473221
run-20260303_123137-f5lbmz0d,tune__date=2026-03-03__sweep_id=09-13-17,57,09-13-17,1,0.00013,0.01,mixup,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,0.9245945548490913,0.38348203152418137,0.0543646335792507,0.978959188428342,0.0,236.69856734300265,0.8799205311960654
run-20260303_123548-adxwfcyu,tune__date=2026-03-03__sweep_id=09-13-17,58,09-13-17,0,0.00013,0.01,mixup,0.0,none,cosine,384,convnext_small.fb_in22k_ft_in1k,0.9396136938041901,0.3193972355553082,0.0004826321556362645,0.9400963259598264,1.0,162.62302661401918,0.9396136938041901
run-20260303_123845-8ktqpi27,tune__date=2026-03-03__sweep_id=09-13-17,59,09-13-17,1,0.00013,0.01,mixup,0.0,none,cosine,384,convnext_small.fb_in22k_ft_in1k,0.931597445533887,0.28914957280669895,0.021890523489220937,0.953487969023108,1.0,233.11245052801678,0.9291397649978997
run-20260303_124251-xj6vvyu5,tune__date=2026-03-03__sweep_id=09-13-17,60,09-13-17,0,0.00013,0.01,mixup,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,0.9175763952139887,0.36924415294613155,0.04681570186251316,0.9643920970765019,0.0,232.74280983197968,0.8827159827927216
run-20260303_124658-560774q9,tune__date=2026-03-03__sweep_id=09-13-17,61,09-13-17,1,0.00013,0.01,mixup,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,0.8331895431252374,0.6689717663185937,0.13839541194726435,0.9715849550725018,1.0,186.21624322101707,0.6792755075937937
run-20260303_125018-yveyca70,tune__date=2026-03-03__sweep_id=09-13-17,62,09-13-17,0,0.00013,0.01,mixup,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,0.9135806934750095,0.38189883317266193,0.030480340804472483,0.944061034279482,1.0,187.83743837301154,0.8999562504291952
run-20260303_125340-xi49elkg,tune__date=2026-03-03__sweep_id=09-13-17,63,09-13-17,1,0.00013,0.01,mixup,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,0.9396305866447209,0.2797890401312283,0.026989480348868056,0.9666200669935889,1.0,210.6182575810235,0.9305442621911924
